subj,b_name,a_name,b_offA,a_on_c,a_off_c,rolling_b_on_c,rolling_b_off_c
p2np_s112,baby,panda,381.2907088,84.11463065,-41.23332986,23.35893429,30.52406097
p2np_s112,wolf,ridder,90.83149397,215.4395566,286.9909401,48.57713549,163.925202
p2np_s112,cactus,rits,275.6599031,-79.97942435,-19.54179786,45.97633709,-147.531476
p2np_s112,ladder,schaar,269.4500124,-93.20905435,-61.84648486,33.76024839,471.672071
p2np_s112,tandarts,schaduw,187.4549596,-168.5355244,-36.79339986,4.034241194,92.23527597
p2np_s112,wortel,vlieg,317.6550014,-133.9487974,-150.5433999,52.55982519,9.261872966
p2np_s112,lamp,zebra,161.490329,41.10789965,108.7207021,51.24587319,23.97139197
p2np_s112,doolhof,zee,336.7423653,-48.85488735,-98.65678186,13.15660149,274.459284
p2np_s113,duif,hemd,359.8759221,-20.50488735,-60.65985286,72.10413579,187.349375
p2np_s113,duivel,herder,386.403356,-38.56322035,-52.78658886,106.5237148,188.591059
p2np_s113,been,mand,327.9097392,112.8524846,16.27827814,73.27732349,-4.520660034
p2np_s113,kikker,masker,245.3860908,39.72150165,66.25125814,99.78831879,106.962159
p2np_s113,doos,nagel,415.1203997,34.48353865,67.38789014,70.52083579,229.872375
p2np_s113,tang,pan,332.9481118,130.7077866,-113.0542979,40.00063429,293.120717
p2np_s113,wolf,ridder,196.691982,215.4395566,286.9909401,87.52794079,-195.366643
p2np_s113,cactus,rits,319.0587317,-79.97942435,-19.54179786,68.62449959,359.325636
p2np_s113,tandarts,schaduw,235.1060046,-168.5355244,-36.79339986,-17.77070601,198.626739
p2np_s113,kast,vliegtuig,93.91635479,-85.49030435,153.3887581,52.49762539,155.129068
p2np_s113,lamp,zebra,155.7720011,41.10789965,108.7207021,42.07749099,280.24943
p2np_s113,doolhof,zee,353.9440804,-48.85488735,-98.65678186,52.48522319,319.198408
p2np_s114,duif,hemd,3.517345626,-20.50488735,-60.65985286,-172.0127562,71.38866197
p2np_s114,duivel,herder,97.414856,-38.56322035,-52.78658886,-161.6849876,356.764511
p2np_s114,been,mand,94.49667155,112.8524846,16.27827814,-178.3706446,192.354237
p2np_s114,kikker,masker,-0.852976665,39.72150165,66.25125814,-156.3340107,326.822147
p2np_s114,kip,naald,17.1708992,226.8459456,215.5473231,-128.400824,193.22716
p2np_s114,tang,pan,131.5174265,130.7077866,-113.0542979,-124.9019583,101.980673
p2np_s114,baby,panda,75.61592086,84.11463065,-41.23332986,-262.1669055,81.42603297
p2np_s114,wolf,ridder,98.46347855,215.4395566,286.9909401,-269.3252231,128.129165
p2np_s114,cactus,rits,90.10855969,-79.97942435,-19.54179786,-170.551497,39.94971197
p2np_s114,wortel,vlieg,42.3278495,-133.9487974,-150.5433999,-158.0316703,14.35350397
p2np_s114,kast,vliegtuig,-120.734084,-85.49030435,153.3887581,-137.6484657,129.883157
p2np_s114,lamp,zebra,70.65997186,41.10789965,108.7207021,-254.7817603,-34.27583303
p2np_s114,doolhof,zee,116.534793,-48.85488735,-98.65678186,-132.999413,258.791729
p2np_s115,duivel,herder,166.4615136,-38.56322035,-52.78658886,-29.71346161,71.82960697
p2np_s115,been,mand,100.3628,112.8524846,16.27827814,-25.37388731,299.651345
p2np_s115,kikker,masker,174.9298992,39.72150165,66.25125814,58.57872899,33.88455297
p2np_s115,tang,pan,304.6608961,130.7077866,-113.0542979,-103.381305,210.19628
p2np_s115,baby,panda,170.732489,84.11463065,-41.23332986,-49.21728691,121.856949
p2np_s115,tandarts,schaduw,130.7079125,-168.5355244,-36.79339986,73.49214879,39.37012297
p2np_s115,wortel,vlieg,424.9726356,-133.9487974,-150.5433999,-118.1486741,123.285647
p2np_s115,kast,vliegtuig,-12.39687264,-85.49030435,153.3887581,-22.56274141,43.35705997
p2np_s115,lamp,zebra,470.878137,41.10789965,108.7207021,-17.66826711,52.46557197
p2np_s116,duif,hemd,159.4255684,-20.50488735,-60.65985286,-117.2458694,158.134392
p2np_s116,kip,naald,123.1673916,226.8459456,215.5473231,-142.644571,2.616576966
p2np_s116,doos,nagel,218.5133336,34.48353865,67.38789014,-109.0856071,-65.03928303
p2np_s116,tang,pan,205.7466854,130.7077866,-113.0542979,-63.80763661,73.46029897
p2np_s116,baby,panda,155.3480836,84.11463065,-41.23332986,-117.2760117,228.725898
p2np_s116,wolf,ridder,280.2055691,215.4395566,286.9909401,-144.5395494,253.497819
p2np_s116,cactus,rits,75.28344086,-79.97942435,-19.54179786,-108.1924897,92.05789397
p2np_s116,ladder,schaar,71.75883208,-93.20905435,-61.84648486,-45.43865821,238.692437
